title,tags,url,description,type,id,likes,views,updatedAt
Banksea,"[""lending"",""nft"",""solana""]",https://github.com/Banksea-Finance/,pool-based lending collateralized with a user’s NFT collection,github-repo,b4e59f67-61f6-45a4-aa0f-8d0c1be439dd,0,0,
Genopets,"[""game"",""nft"",""solana""]",https://github.com/Genopets/ignition-hackathon,NFT game on Solana for active lifestyles,github-repo,0fbf7eb9-42a5-474c-aea3-f7338ff80c9d,0,0,
mango-service-v3,"[""solana""]",https://github.com/microwavedcola1/mango-v3-service,pool-based lending collateralized with a user’s NFT collection,github-repo,a6492a50-d563-4ae7-b82a-3e20e7cc9345,0,0,
Superposition,"[""solana""]",https://github.com/superposition-finance,a decentralized fixed income protocol.,github-repo,d39677c0-3fb2-400e-8745-1db2d244db1b,0,0,
Madpacks,"[""anchor"",""solana""]",https://github.com/nateshirley/madpacks,Friend-group primitive on Solana. Look in a wallet and find all of its friends.,github-repo,26283713-16ca-46c2-af6f-ab7c2c0da51e,0,0,
Solone SDK,"[""sdk"",""solana""]",https://github.com/solone-io/Solone-SDK,Rapidly develop dApps for Solana,github-repo,997f59b3-28f0-4486-97b5-772402ce333e,0,0,
Cryptid,"[""did"",""solana""]",https://github.com/identity-com/cryptid,Cryptid is a protocol and client-suite that brings the power of Identity to Solana.,github-repo,e57aa435-051a-4a6b-bd7a-b468df011cd0,0,0,
StreamFlow,"[""anchor"",""solana""]",https://github.com/streamflow-finance,https://devpost.com/software/streamflow-finance,github-repo,efa320d6-d781-4437-80c4-88abb7107e21,0,0,
MeanDAO,"[""dao"",""solana""]",https://github.com/mean-dao,A DeFi Protocol Powering Everyday Banking Workflows on Solana,github-repo,530a0478-c5bd-4caa-87fb-1f9cb075ca2e,0,0,
BuyMeCrypto,"[""solana""]",https://github.com/baymac/buy-me-crypto,Buy me a coffee but crypto,github-repo,e7e04c2a-27a7-485a-8f72-4e799e25256d,0,0,
eno,"[""solana""]",https://github.com/shellrox/eno_demo_backend,A content publishing protocol that enables creators to monetize each consumption and turns content into a traceable bearer asset existing in a decentralized environment.,github-repo,b6de072b-dd3a-407e-b8ab-83bce6736887,0,0,
Tsunami,"[""nft"",""solana"",""metaplex""]",https://github.com/tsunamiprotocol,,github-repo,04243ce9-e129-4595-b271-0ac34b84ed67,0,0,
mywish,"[""angular"",""no-code"",""solana""]",https://github.com/MyWishPlatform,Create your smart contract without coding,github-repo,d148c47a-70ca-4b4c-b4fa-bf8ecbecfbea,0,0,
dassi,"[""solana""]",https://github.com/DassiFinance,,github-repo,c461a998-43c1-4e5e-890d-d6bc6014c1b1,0,0,
easy-spl,"[""lib"",""solana""]",https://github.com/solstar-tech/easy-spl.git,,github-repo,43a3c4e1-0be3-4f04-9cbc-7456a8c75128,0,0,
infinitude,"[""anchor"",""solana""]",https://github.com/jjyeow/hydra-solana-anchor,It's Coreless banking solution to improve efficiencies at lesser cost with DLT as primary ledger.,github-repo,355474ed-106d-4e71-8d2a-6c7308e7f8bf,0,0,
Rust: Too Many Lists,"[""rust""]",https://rust-unofficial.github.io/too-many-lists/index.html,Learn Rust With Entirely Too Many Linked Lists,article,d80275f1-793d-46a5-a125-9403a68d7922,0,0,
Money Streaming Whitepaper,"[""solana"",""whitepaper"",""streaming""]",https://docs.meanfi.com/platform/specifications/money-streaming-protocol,Money Streaming is one of key sub-graphs of the Mean Protocol,whitepaper,b1423976-257a-4e04-b55f-fa25b100a363,0,0,
A Starter Kit for New Solana Developer,"[""solana"",""starter"",""article""]",https://hackmd.io/@ironaddicteddog/solana-starter-kit#More-Advanced-Topics,How to get onboard to Solana develepement quickly?,article,208df2f0-868f-4437-a9b0-9688de54611d,0,0,